,Condition,Concentration,Time,splist,sp1OD,sp2OD,sp3OD,sp4OD,sp5OD,sp6OD,sp7OD,sp8OD,sp9OD,sp10OD,sp11OD,sp12OD,sp13OD,sp14OD,Antibiotic
28,SEHE90_2,12.0,48,"[1, 3, 4]",0.3363813241319819,0,0.0,0.0009944216806843506,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
29,SEHE90_2,12.0,48,"[1, 3, 4]",0.33942604548789435,0,0.0,0.000349024211298606,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
30,SEHE90_2,12.0,48,"[1, 3, 4]",0.05566101898101898,0,1.1228771228771228e-05,0.0005277522477522478,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
31,SEHE90_3,12.0,48,"[1, 3, 4, 6]",0.2184342403628118,0,0.0,0.00018594104308390026,0,0.2733798185941043,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
32,SEHE90_3,12.0,48,"[1, 3, 4, 6]",0.30499576522401967,0,0.0,0.00013593630896925553,0,0.22986829846701112,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
34,SEHE90_3,12.0,48,"[1, 3, 4, 6]",0.24817195887544352,0,4.669274861250114e-05,0.0001400782458375034,0,0.264794577381494,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
35,SEHE90_1,6.0,48,[1],0.0174,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
36,SEHE90_1,6.0,48,[1],0.010363585434173662,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
37,SEHE90_1,6.0,48,[1],0.018380570221752903,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
38,SEHE90_1,6.0,48,[1],0.0272,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
39,SEHE90_2,6.0,48,"[1, 3, 4]",0.24018697053752155,0,0.0,0.0007949621410900366,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
40,SEHE90_2,6.0,48,"[1, 3, 4]",0.23701746384020816,0,5.459554603198898e-05,0.0006733450677278641,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
41,SEHE90_2,6.0,48,"[1, 3, 4]",0.33978717948717946,0,0.0,0.003922507122507122,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
42,SEHE90_2,6.0,48,"[1, 3, 4]",0.24961035426486236,0,3.804166033145811e-05,0.0005325832446404136,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
43,SEHE90_3,6.0,48,"[1, 3, 4, 6]",0.16955528765180392,0,0.0,0.00013098129598439854,0,0.19961549508022342,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
44,SEHE90_3,6.0,48,"[1, 3, 4, 6]",0.16446861732644863,0,0.0,0.00011749856569133676,0,0.19378450946643713,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
45,SEHE90_3,6.0,48,"[1, 3, 4, 6]",0.16485810552109656,0,0.0,5.3265946856574015e-05,0,0.18288862853204688,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
47,SEHE90_1,3.0,48,[1],0.264,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
48,SEHE90_1,3.0,48,[1],0.2569846594639766,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
49,SEHE90_1,3.0,48,[1],0.2582,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
50,SEHE90_1,3.0,48,[1],0.32420000000000004,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
51,SEHE90_2,3.0,48,"[1, 3, 4]",0.20545433140390468,0,2.020994800353184e-05,0.0005254586480918277,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
53,SEHE90_2,3.0,48,"[1, 3, 4]",0.20900347581023954,0,0.0,0.00017687177078440583,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
54,SEHE90_2,3.0,48,"[1, 3, 4]",0.19485477513895907,0,4.9317837291561404e-05,0.00026302846555499414,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
55,SEHE90_3,3.0,48,"[1, 3, 4, 6]",0.13072836624775586,0,2.7987233193696393e-05,0.00013993616596848194,0,0.1496757231198883,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
56,SEHE90_3,3.0,48,"[1, 3, 4, 6]",0.1441217960710945,0,7.762394761459309e-05,5.174929840972872e-05,0,0.1322712067352666,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
58,SEHE90_3,3.0,48,"[1, 3, 4, 6]",0.13103105635078818,0,0.0,0.00012375430331581808,0,0.14199568762456966,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
59,SEHE90_1,1.5,48,[1],0.1998,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
60,SEHE90_1,1.5,48,[1],0.2064,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
61,SEHE90_1,1.5,48,[1],0.2019850558555893,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
62,SEHE90_1,1.5,48,[1],0.2004,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
63,SEHE90_2,1.5,48,"[1, 3, 4]",0.1930339261694814,0,0.0009110745777910626,0.05996009565087431,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
64,SEHE90_2,1.5,48,"[1, 3, 4]",0.18508103407383986,0,0.0001342556723851688,0.057365530872005695,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
65,SEHE90_2,1.5,48,"[1, 3, 4]",0.1905890495232236,0,0.00015072285450630575,0.054203706551830204,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
66,SEHE90_2,1.5,48,"[1, 3, 4]",0.1853062531602899,0,0.0002598685319399966,0.051553918759480864,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
67,SEHE90_3,1.5,48,"[1, 3, 4, 6]",0.12795489384195227,0,0.008711214870936483,0.010739071447449565,0,0.17673769711919654,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
68,SEHE90_3,1.5,48,"[1, 3, 4, 6]",0.11643182346109175,0,0.00160889331342293,0.007405641280902605,0,0.15970632155301145,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
69,SEHE90_3,1.5,48,"[1, 3, 4, 6]",0.1125058662147987,0,0.006877317840716534,0.010807213749697411,0,0.18198441055434522,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
70,SEHE90_3,1.5,48,"[1, 3, 4, 6]",0.11641151958674126,0,0.009374928971157983,0.009153473956091259,0,0.15078625914765387,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
71,SEHE90_1,0.75,48,[1],0.2098,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
72,SEHE90_1,0.75,48,[1],0.19217070568510897,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
73,SEHE90_1,0.75,48,[1],0.19498581095830606,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
74,SEHE90_1,0.75,48,[1],0.19078453808752027,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
75,SEHE90_2,0.75,48,"[1, 3, 4]",0.1364914970768889,0,0.031602634500111006,0.04294957448383038,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
76,SEHE90_2,0.75,48,"[1, 3, 4]",0.13469516797054762,0,0.02990625862862402,0.03864256787850897,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
77,SEHE90_2,0.75,48,"[1, 3, 4]",0.13118059357441292,0,0.030935167843250257,0.036669211929116846,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
78,SEHE90_2,0.75,48,"[1, 3, 4]",0.1267148914941382,0,0.03497131454227987,0.03811424295335495,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
79,SEHE90_3,0.75,48,"[1, 3, 4, 6]",0.09662385288966725,0,0.03152774080560421,0.017064772329246934,0,0.14562449211908932,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
80,SEHE90_3,0.75,48,"[1, 3, 4, 6]",0.08975413774693006,0,0.03289701014415377,0.014894821142552056,0,0.15074586225306996,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
81,SEHE90_3,0.75,48,"[1, 3, 4, 6]",0.08553367530597553,0,0.032788750899928006,0.015030282577393809,0,0.14717046436285097,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
82,SEHE90_3,0.75,48,"[1, 3, 4, 6]",0.0995451292246521,0,0.02741312127236581,0.014717296222664017,0,0.13105049701789265,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
83,SEHE90_1,0.375,48,[1],0.1975635390718701,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
84,SEHE90_1,0.375,48,[1],0.2097638743004735,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
85,SEHE90_1,0.375,48,[1],0.199,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
86,SEHE90_1,0.375,48,[1],0.20498017408123792,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
87,SEHE90_2,0.375,48,"[1, 3, 4]",0.13098854166666668,0,0.04317652243589743,0.053184174679487176,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
88,SEHE90_2,0.375,48,"[1, 3, 4]",0.12682262996941895,0,0.0431471287801563,0.05013047910295617,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
89,SEHE90_2,0.375,48,"[1, 3, 4]",0.1274796267949559,0,0.044977593119031996,0.04905176762154676,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
