,Condition,Concentration,Time,splist,sp1OD,sp2OD,sp3OD,sp4OD,sp5OD,sp6OD,sp7OD,sp8OD,sp9OD,sp10OD,sp11OD,sp12OD,sp13OD,sp14OD,Antibiotic
0,SEHE81_1,3.0,17,[1],0.017126495726495716,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,Metronidazole
1,SEHE81_1,3.0,17,[1],0.031007970112079696,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,Metronidazole
2,SEHE81_1,3.0,17,[1],0.014332288401253916,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,Metronidazole
11,SEHE81_1,1.5,17,[1],0.1557656902864527,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,Metronidazole
12,SEHE81_1,1.5,17,[1],0.09835963904840032,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,Metronidazole
13,SEHE81_1,1.5,17,[1],0.07908564356435643,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,Metronidazole
14,SEHE81_1,1.5,17,[1],0.09224781947261664,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,Metronidazole
23,SEHE81_1,0.75,17,[1],0.2620412192167945,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,Metronidazole
24,SEHE81_1,0.75,17,[1],0.32129134550371874,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,Metronidazole
25,SEHE81_1,0.75,17,[1],0.30405933248971845,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,Metronidazole
26,SEHE81_1,0.75,17,[1],0.2871758963282937,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,Metronidazole
35,SEHE81_1,0.375,17,[1],0.20733570973901974,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,Metronidazole
36,SEHE81_1,0.375,17,[1],0.3534424881836597,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,Metronidazole
37,SEHE81_1,0.375,17,[1],0.29973661106233535,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,Metronidazole
